Azimuth,Height,Median Distance,Average Intensity
18.0,-24.3,147.62938957991625,0.5700000002980232
18.5,-24.3,7.789300800924147,0.0
18.0,-23.8,7.753787607658038,0.0
-150.5,-23.7,72.56421828764299,0.0
-150.0,-23.7,9.083743068708593,0.0
-148.0,-23.7,54.3535218613237,0.0
-147.5,-23.7,131.0342410243029,0.5600000042468309
-147.0,-23.7,131.08432027489172,5.5799999460577965
-146.5,-23.7,153.8065313218784,9.700000047683716
-146.0,-23.7,117.57607743164395,6.280000016093254
-145.5,-23.7,144.97103154949252,3.0399999991059303
-145.0,-23.7,126.88047526687689,0.0
-144.5,-23.7,4.543728588831014,0.0
-138.0,-23.7,63.38823782079666,0.0
-137.5,-23.7,144.85007090875789,0.0
-137.0,-23.7,127.02618951122285,0.0
-136.5,-23.7,22.69527455717127,0.0
-126.5,-23.7,9.00173718743326,0.0
-126.0,-23.7,125.87031192098677,2.310000015422702
-125.5,-23.7,139.39582032260037,8.550000086426735
-125.0,-23.7,130.2593203530064,9.129999995231628
-124.5,-23.7,134.78764971247844,9.059999942779541
-124.0,-23.7,143.8568468985475,10.40000006556511
-123.5,-23.7,125.71103161864103,7.849999949336052
-123.0,-23.7,143.65271515358685,9.900000110268593
-122.5,-23.7,125.73896466525807,9.379999995231628
-122.0,-23.7,143.6903762591247,9.90000006556511
-121.5,-23.7,125.84795956047118,8.730000108480453
-121.0,-23.7,134.7098810290578,8.47000004351139
-120.5,-23.7,134.5181242332896,8.900000035762787
-120.0,-23.7,134.53367351533714,9.80000002682209
-119.5,-23.7,143.44049511425695,9.0799999833107
-119.0,-23.7,125.49688513893241,9.60999995470047
-118.5,-23.7,143.3434405307586,10.160000056028366
-118.0,-23.7,125.49568768540668,8.820000112056732
-117.5,-23.7,138.9059564741639,8.849999994039536
-117.0,-23.7,111.96336624031883,7.60000005364418
-116.5,-23.7,120.78148523973076,8.340000122785568
-116.0,-23.7,111.58369330564788,7.150000113993883
-115.5,-23.7,53.649078477116895,3.790000021457672
-115.0,-23.7,98.26069106986763,6.880000025033951
-114.5,-23.7,62.46848348517503,4.319999977946281
-114.0,-23.7,53.62343824082237,3.0099999457597733
-113.5,-23.7,53.64332303550617,4.130000025033951
-113.0,-23.7,53.63012588857103,3.8299999833106995
-112.5,-23.7,53.607591956341494,3.770000070333481
-112.0,-23.7,53.59198095198989,3.6800000071525574
-111.5,-23.7,53.60089470214469,3.8000000417232513
-111.0,-23.7,53.61243350915062,3.7300000488758087
-110.5,-23.7,53.61056057752781,3.6299999356269836
-110.0,-23.7,62.51620857708448,4.139999955892563
-109.5,-23.7,62.54514210679928,4.30000002682209
-109.0,-23.7,53.56424254009383,3.7999999970197678
-108.5,-23.7,53.56501212768998,3.5199999809265137
-108.0,-23.7,67.0706316964499,4.640000060200691
-107.5,-23.7,58.04129554665448,3.9900000393390656
-107.0,-23.7,80.11240193656816,4.820000037550926
-106.5,-23.7,116.06574093132554,6.899999976158142
-106.0,-23.7,66.9371740556212,3.989999994635582
-105.5,-23.7,66.92754097222391,4.830000042915344
-105.0,-23.7,71.36757448707093,5.200000017881393
-104.5,-23.7,80.313955556411,5.10999995470047
-104.0,-23.7,80.31096356520942,6.170000046491623
-103.5,-23.7,80.33718688079496,5.550000041723251
-103.0,-23.7,124.99154309967234,8.820000067353249
-102.5,-23.7,129.49206131693842,8.590000122785568
-102.0,-23.7,133.8211774068498,9.109999939799309
-101.5,-23.7,142.64108182518856,10.090000182390213
-101.0,-23.7,124.87172507817144,9.080000132322311
-100.5,-23.7,142.70637363695027,10.110000014305115
-100.0,-23.7,124.64729398947586,7.770000010728836
-99.5,-23.7,138.08259784288725,8.299999997019768
-99.0,-23.7,129.07322866328596,8.700000137090683
-98.5,-23.7,137.90241189373705,9.22000002861023
