Azimuth,Height,Distance,Average Intensity
18.0,-24.3,7.786431933653669,0.026363637
18.5,-24.3,7.786833396013699,0.0
18.0,-23.8,7.753787607658038,0.0
-150.5,-23.7,4.5540896637268915,0.0
-150.0,-23.7,4.540972336760839,0.0
-148.0,-23.7,4.5439010354320395,0.0
-147.5,-23.7,4.555030536864321,0.025562309
-147.0,-23.7,4.535614153008063,0.19255883
-146.5,-23.7,4.536484705008206,0.2871858
-146.0,-23.7,4.5343984766305105,0.24623792
-145.5,-23.7,4.559665231634788,0.08404432
-145.0,-23.7,4.552820415274238,0.0
-144.5,-23.7,4.549166012236937,0.0
-138.0,-23.7,4.553057859201497,0.0
-137.5,-23.7,4.543074420353716,0.0
-137.0,-23.7,4.563746813720967,0.0
-136.5,-23.7,4.58655619474435,0.0
-126.5,-23.7,4.509537062623126,0.0
-126.0,-23.7,4.525999021006995,0.08944262
-125.5,-23.7,4.508762243958476,0.27615386
-125.0,-23.7,4.508836418621927,0.31401253
-124.5,-23.7,4.500185627439303,0.30339885
-124.0,-23.7,4.504030158707171,0.32193902
-123.5,-23.7,4.495959296756142,0.28106794
-123.0,-23.7,4.493988030086745,0.31439227
-122.5,-23.7,4.489609704201599,0.33055195
-122.0,-23.7,4.486330568754557,0.30839333
-121.5,-23.7,4.497779846692148,0.31351972
-121.0,-23.7,4.504667337467819,0.28123248
-120.5,-23.7,4.503940691579907,0.30152863
-120.0,-23.7,4.499658236485194,0.32305637
-119.5,-23.7,4.498829979080906,0.2842776
-119.0,-23.7,4.493175129747134,0.34488213
-118.5,-23.7,4.487369892844626,0.31789172
-118.0,-23.7,4.4991460856493095,0.31319866
-117.5,-23.7,4.496716047521249,0.28492668
-117.0,-23.7,4.494978253384229,0.29909405
-116.5,-23.7,4.471074035946146,0.30089173
-116.0,-23.7,4.455505419997679,0.27800867
-115.5,-23.7,4.467406998842889,0.29973683
-115.0,-23.7,4.462188838382439,0.29549503
-114.5,-23.7,4.449431829261159,0.30362633
-114.0,-23.7,4.482827048738454,0.24943821
-113.5,-23.7,4.480041080024547,0.34718305
-113.0,-23.7,4.4769555205127665,0.31499997
-112.5,-23.7,4.479631734933029,0.3069333
-112.0,-23.7,4.4728382396352115,0.3063441
-111.5,-23.7,4.475525204374841,0.3140964
-111.0,-23.7,4.471430156514932,0.3106818
-110.5,-23.7,4.4778294397242915,0.3024731
-110.0,-23.7,4.472624150067678,0.29554218
-109.5,-23.7,4.471463248302021,0.3066355
-109.0,-23.7,4.459412847369681,0.31021047
-108.5,-23.7,4.451355030896304,0.28606552
-108.0,-23.7,4.464760531729214,0.29504502
-107.5,-23.7,4.463266531106317,0.2837143
-107.0,-23.7,4.45588380531932,0.27381247
-106.5,-23.7,4.470697535032031,0.26642856
-106.0,-23.7,4.46108725226285,0.27056
-105.5,-23.7,4.463700110629023,0.31936365
-105.0,-23.7,4.473694544657639,0.32039735
-104.5,-23.7,4.466910057333695,0.2840411
-104.0,-23.7,4.464970734561439,0.32853532
-103.5,-23.7,4.470562765225888,0.29946524
-103.0,-23.7,4.466057747401965,0.31136495
-102.5,-23.7,4.482219606171015,0.29503065
-102.0,-23.7,4.478868960027102,0.30361763
-101.5,-23.7,4.477184674809485,0.31800544
-101.0,-23.7,4.471392503017382,0.32233766
-100.5,-23.7,4.475022867390262,0.31363887
-100.0,-23.7,4.469820404512985,0.28952074
-99.5,-23.7,4.4724545066356125,0.26795012
-99.0,-23.7,4.467250689429567,0.30096775
-98.5,-23.7,4.465019934408629,0.29997265
-98.0,-23.7,4.458202781356913,0.31316763
-97.5,-23.7,4.459789203233087,0.32336205
-97.0,-23.7,4.454614233894817,0.2932044
-96.5,-23.7,4.455386118359686,0.25517797
-96.0,-23.7,4.445146216996971,0.32738888
-95.5,-23.7,4.448357269457491,0.34095848
-95.0,-23.7,4.44470960079994,0.31592286
-94.5,-23.7,4.44361028903611,0.30656955
-94.0,-23.7,4.447820870586655,0.33139727
-93.5,-23.7,4.433621498319962,0.31649515
-93.0,-23.7,4.439033499239295,0.32008353
-92.5,-23.7,4.434439308614461,0.30627117
-92.0,-23.7,4.432015751597391,0.31501576
-91.5,-23.7,4.442084639459621,0.30272728
-91.0,-23.7,4.462704614008483,0.12166666
-90.5,-23.7,4.45948498279495,0.0
-90.0,-23.7,4.4471423100885135,0.0
-87.0,-23.7,4.4412126580588165,0.0055131963
-86.5,-23.7,4.429182474544875,0.05354838
-86.0,-23.7,4.453747669285101,0.07889807
-85.5,-23.7,4.462130716696466,0.0
-85.0,-23.7,4.462017796853188,0.0
-84.5,-23.7,4.4417811562746685,0.0
-84.0,-23.7,4.424773824085824,0.0
-83.5,-23.7,4.447649041100595,0.0
-83.0,-23.7,4.436300487875062,0.0
-82.5,-23.7,4.443522632973223,0.0
-76.0,-23.7,4.405004176312929,0.0
-75.5,-23.7,4.3986064450659565,0.0
-75.0,-23.7,4.4006219028693145,0.0
-74.5,-23.7,4.395819345312826,0.0
-74.0,-23.7,4.415505202756119,0.003852941
-73.5,-23.7,4.402165742564112,0.048986305
-73.0,-23.7,4.400436731515934,0.12504886
-72.5,-23.7,4.402518345520698,0.1132873
-72.0,-23.7,4.402037929868561,0.17320514
-71.5,-23.7,4.4022061353385435,0.16534248
-71.0,-23.7,4.401341611898101,0.2474267
-70.5,-23.7,4.404434241827088,0.17476714
-70.0,-23.7,4.401881633735211,0.26857558
-69.5,-23.7,4.399799016590264,0.27895707
-69.0,-23.7,4.403014885181203,0.3068493
-68.5,-23.7,4.3942616582317955,0.27068627
-68.0,-23.7,4.39179767460405,0.31008288
-67.5,-23.7,4.3938827240107345,0.32580125
-67.0,-23.7,4.392613231579067,0.3189011
-66.5,-23.7,4.404408532635738,0.33392286
-66.0,-23.7,4.413914552229249,0.3012188
-65.5,-23.7,4.417775045758382,0.2853779
